"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"840","sigma","5",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"841","sigma","6",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"842","sigma","7",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"843","sigma","8",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"844","sigma","9",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"845","sigma","10",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"846","sigma","11",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"847","sigma","12",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"848","sigma","13",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"849","sigma","14",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"850","sigma","15",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"851","sigma","16",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"852","sigma","17",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"853","sigma","18",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"854","sigma","19",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"855","sigma","20",0.25,0.06,0.122229968444849,0.363659537326769,0.252501194038912,0.239178534945441,0.159471372326399,20,5,0.06,0.159471372326399,"partially"
"856","rho","1",2.50613174488495,0.43,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"857","rho","2",2.84784671593346,0.36,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"858","rho","3",3.34715175073442,0.92,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"859","rho","4",3.50398599051962,0.96,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"860","rho","5",2.42191400468829,0.59,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"861","rho","6",2.69160579830305,0.01,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"862","rho","7",4.50676709000226,1,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"863","rho","8",2.67094746209584,0.05,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"864","rho","9",2.53704847540864,0.36,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"865","rho","10",2.45172430112995,0.54,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"866","rho","11",2.1831696205506,0.92,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"867","rho","12",3.0376359402046,0.66,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"868","rho","13",2.81745692219644,0.29,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"869","rho","14",2.61888198708957,0.17,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"870","rho","15",2.32763969352883,0.76,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"871","rho","16",2.86563880224856,0.39,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"872","rho","17",2.60353638684154,0.2,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"873","rho","18",2.82713549775865,0.31,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
"874","rho","19",3.85092322061046,1,2.47200018548392,2.92724182738703,2.71460695994994,2.69181632455647,0.346447233441029,20,10,0.5205,0.346447233441029,"pooled"
